Sex,Fish_ID,Tank,Weight(g)
female,a9678,Within_Control,0.496
male,a9606,Within_Control,0.349
male,a9680,Within_Control,0.421
female,a9566,Within_Control,0.479
male,a9588,Within_Control,0.381
male,a9676,Within_Control,0.436
male,a9611,Within_Control,0.302
female,a9557,Within_Control,0.375
female,a9599,Within_Control,0.528
male,a9562,Within_Control,0.299
female,a9607,Within_Control,0.57
male,a9681,Within_Control,0.368
female,a9553,Within_Control,0.452
male,a9610,Within_Control,0.425
female,a9707,Within_Control,0.435
female,a9605,Within_Control,0.486
female,a9708,Within_Control,0.448
male,a9590,Within_Control,0.349
female,a9700,Within_Control,0.481
male,a9582,Within_Control,0.345
male,a9677,Within_Control,0.386
male,a9575,Within_Control,0.373
female,a9596,Within_Control,0.532
female,a9613,Within_Control,0.461
male,a9587,Within_Control,0.386
female,a9579,Within_Control,0.485
female,a9578,Within_Control,0.453
male,a9612,Within_Control,0.39
female,a9704,Within_Control,0.602
male,a9581,Within_Control,0.418
male,a9686,Within_Control,0.399
male,a9703,Within_Control,0.313
female,a9583,Within_Control,0.452
female,a9608,Within_Control,0.532
male,a9701,Within_Control,0.344
male,a9687,Within_Control,0.484
female,a9580,Within_Control,0.605
female,a10156,Within_Treatment,0.476
male,a10064,Within_Treatment,0.394
female,a10172,Within_Treatment,0.508
male,a10163,Within_Treatment,0.283
female,a10079,Within_Treatment,0.53
male,a10070,Within_Treatment,0.359
male,a10090,Within_Treatment,0.377
female,a10039,Within_Treatment,0.543
male,a10166,Within_Treatment,0.403
male,a10055,Within_Treatment,0.318
male,a10077,Within_Treatment,0.306
male,a10095,Within_Treatment,0.308
female,a10086,Within_Treatment,0.475
female,a10158,Within_Treatment,0.527
female,a10045,Within_Treatment,0.52
female,a10046,Within_Treatment,0.588
male,a10201,Within_Treatment,0.375
male,a10092,Within_Treatment,0.437
female,a10087,Within_Treatment,0.511
female,a10041,Within_Treatment,0.607
male,a10157,Within_Treatment,0.433
male,a10057,Within_Treatment,0.272
female,a10164,Within_Treatment,0.594
female,a10036,Within_Treatment,0.489
male,a10037,Within_Treatment,0.356
male,a10044,Within_Treatment,0.382
male,a10155,Within_Treatment,0.28
female,a10160,Within_Treatment,0.429
female,a10154,Within_Treatment,0.485
female,a10081,Within_Treatment,0.588
female,a10097,Within_Treatment,0.479
male,a10074,Within_Treatment,0.48
male,a10043,Within_Treatment,0.352
male,a10083,Within_Treatment,0.222
female,a10060,Within_Treatment,0.569
male,a10089,Within_Treatment,0.398
male,a10152,Within_Treatment,0.432
male,a10040,Within_Treatment,0.435
female,a10063,Within_Treatment,0.528
female,a10076,Within_Treatment,0.658
female,a10072,Within_Treatment,0.381
male,a10088,Within_Treatment,0.25
female,a10167,Within_Treatment,0.413
female,a10059,Within_Treatment,0.673
male,a10169,Within_Treatment,0.407
female,a10047,Within_Treatment,0.248
female,a10159,Within_Treatment,0.436
male,a10096,Within_Treatment,0.387
female,a9982,Paternal,
male,a9984,Paternal,
female,a10034,Within_Treatment,
female,a9577,Within_Control,
