Date,Day,Origin,Group,Mark,Sex,Fish_ID,Notes,Tot_Dist_cm,Velocity_Mean_cm_s,High_Zone_Dur,Mid_Zone_Dur,Low_Zone_Dur,Freezing_Dur,Arena_Dur
14/02/2020,Friday,MB,Maternal,Red.Bla,male,a9756,,3394.4,7.71454,89.84,126.16,224.04,0.08,440.04
14/02/2020,Friday,MB,Maternal,_._,female,a9774,,2358.56,5.70362,92.12,62.4,280.68,0.16,435.2
14/02/2020,Friday,MB,Maternal,Gre.Ora,female,a9868,,2823.33,6.45304,101.8,69.4,268.04,0.04,439.24
14/02/2020,Friday,MB,Maternal,Pin.Whi,female,a9862,,2166.15,4.9879,30.48,24.8,383.6,7.88,438.88
14/02/2020,Friday,MB,Maternal,Gre.Pur,female,a9867,,1784.77,4.36033,31.32,81.24,318.88,2.16,431.44
14/02/2020,Friday,MB,Maternal,_.Red,male,a9849,,1712.93,3.89301,20.84,50.12,369.08,0.8,440.04
14/02/2020,Friday,MB,Maternal,Ora.Pur,male,a9821,,2079.29,4.73859,122.92,173.96,142.84,0.08,439.72
14/02/2020,Friday,MB,Maternal,_.Ora,female,a10198,,2794.34,6.36407,242.2,94.52,103.24,0.04,439.96
14/02/2020,Friday,MB,Maternal,Red._,male,a9752,,2879.32,6.61243,35.2,70.64,333.24,0.04,439.08
14/02/2020,Friday,MB,Maternal,Yel.Yel,male,a9765,,2909.99,6.71494,54.04,117.6,265.84,0.12,437.48
14/02/2020,Friday,MB,Maternal,Blu.Gre,male,a9846,,3344.59,7.60825,111.48,94.96,233.6,0.08,440.04
14/02/2020,Friday,MB,Maternal,Ora.Yel,male,a9813,,2945.24,6.91112,111.92,67.96,257.52,0.16,437.4
14/02/2020,Friday,WCA,Within_Control,Gre.Blu,female,a9553,,2739.14,6.24292,125.96,118.2,195.88,0.16,440.04
14/02/2020,Friday,WCA,Within_Control,Ora.Blu,female,a9607,,2588.51,6.46481,135.52,169.2,127.84,0.12,432.56
14/02/2020,Friday,WCA,Within_Control,Red.Bla,male,a9676,,221.84,0.509977,0,0,439.48,146.28,439.48
14/02/2020,Friday,WCA,Within_Control,Gre.Bla,male,a9554,,2347.63,5.33844,66.68,120.84,252.52,0.24,440.04
14/02/2020,Friday,WCA,Within_Control,Red.Pin,female,a9673,,2988.12,6.96792,85.04,129.36,223.04,0.08,437.44
14/02/2020,Friday,WCA,Within_Control,Ora.Ora,male,a9706,,2465.89,6.01846,143.84,93.56,193.76,0.2,431.16
14/02/2020,Friday,WCA,Within_Control,Red.Gre,male,a9680,,2195.11,5.00162,103.92,65.8,270.16,0.4,439.88
14/02/2020,Friday,WCA,Within_Control,Red.Whi,female,a9679,,837.469,1.90994,0,0,439.64,76.04,439.64
14/02/2020,Friday,WCA,Within_Control,Red.Yel,female,a9678,,2518.27,5.78487,156.76,72.52,209.88,0.2,439.16
14/02/2020,Friday,WCA,Within_Control,Pin.Gre,male,a9588,,2317.82,5.28555,51.2,90.6,298.16,0.16,439.96
14/02/2020,Friday,WCA,Within_Control,Pur.Red,female,a9566,,671.333,1.52645,75.48,33.72,330.84,49,440.04
14/02/2020,Friday,WCA,Within_Control,Ora.Red,male,a9606,,2967.82,6.78824,198.8,81.08,159.8,0.16,439.68
14/02/2020,Friday,WCA,Within_Control,Gre.Bro,male,a9558,,2348.22,5.34124,274.32,84.64,81.04,0.12,440
14/02/2020,Friday,WCA,Within_Control,Red.Ora,male,a9681,,1721.69,3.91293,0,0,440.04,0.24,440.04
14/02/2020,Friday,WCA,Within_Control,Whi.Bla,female,a9598,,2525.21,6.31176,77.48,82.64,269.4,0.2,429.52
14/02/2020,Friday,WCA,Within_Control,Whi.Yel,female,a9599,,967.021,2.21266,0,0,439.48,1.4,439.48
14/02/2020,Friday,WCA,Within_Control,Gre.Pur,female,a9556,,3175.4,7.22273,143.84,155.92,140.28,0.04,440.04
14/02/2020,Friday,WCA,Within_Control,Pur._,male,a9562,,692.42,1.57397,0,0,440.04,143.16,440.04
14/02/2020,Friday,WCA,Within_Control,Ora.Gre,female,a9603,,2245.24,5.11912,73.24,94.64,271.92,0.2,439.8
14/02/2020,Friday,WCA,Within_Control,Ora.Whi,male,a9611,,2778.12,6.32656,151.08,112.28,176.52,0.2,439.88
2/03/2020,Monday,WCB,Within_Control,Blu.Bro,female,a9579,"First two tanks started delayed due to evacuation (30 mins, water wasn't changed)Wifi connection lost, may need to change arena settings for following trials",1305.95,2.96807,12.64,11.2,416.24,1.28,440.08
2/03/2020,Monday,WCB,Within_Control,Blu.Gre,female,a9578,,1505.65,3.42192,61.92,63.36,314.8,0.32,440.08
2/03/2020,Monday,WCB,Within_Control,Bro.Bla,female,a9700,,1857.7,4.22204,150.48,122.32,167.28,0.48,440.08
2/03/2020,Monday,WCB,Within_Control,Ora.Gre,male,a9612,,277.191,0.62998,0,0,440.08,281.92,440.08
2/03/2020,Monday,WCB,Within_Control,Red.Bro,male,a9677,,363.707,0.826606,0,0,440.08,202.96,440.08
2/03/2020,Monday,WCB,Within_Control,Blu.Pur,male,a9581,,1190.75,2.70625,124.8,40.88,274.4,4.24,440.08
2/03/2020,Monday,WCB,Within_Control,Pin.Yel,male,a9587,,2022.54,4.59669,86.56,76.24,277.28,0.4,440.08
2/03/2020,Monday,WCB,Within_Control,Blu.Blu,male,a9575,,2133.93,4.84984,11.2,144.16,284.72,0.48,440.08
2/03/2020,Monday,WCB,Within_Control,_.Pur,female,a9605,,1177.8,2.67682,36.48,65.2,338.4,0.16,440.08
2/03/2020,Monday,WCB,Within_Control,Pin.Whi,male,a9590,,48.4961,0.110218,0,0.56,439.52,394.08,440.08
2/03/2020,Monday,WCB,Within_Control,Ora.Bro,male,a9610,,1289.13,2.92985,0,0,440.08,0.64,440.08
2/03/2020,Monday,WCB,Within_Control,Blu.Whi,female,a9580,,1098.81,2.49731,2.32,30.64,407.12,13.84,440.08
2/03/2020,Monday,WCB,Within_Control,Whi.Ora,female,a9596,,1921.7,4.36749,52.48,77.28,310.32,0,440.08
2/03/2020,Monday,WCB,Within_Control,Blu.Ora,female,a9583,,798.265,1.81424,17.6,26.56,395.92,153.6,440.08
2/03/2020,Monday,WCB,Within_Control,Ora.Bla,female,a9608,,1430.99,3.25225,288.08,97.76,54.24,0.48,440.08
2/03/2020,Monday,WCB,Within_Control,Pur.Pin,male,a9686,,1086.23,2.46871,0,0,440.08,12.96,440.08
2/03/2020,Monday,WCB,Within_Control,Bro.Gre,female,a9704,,1981.84,4.50419,73.44,101.04,265.6,0.72,440.08
2/03/2020,Monday,WCB,Within_Control,Yel.Yel,female,a9613,,1014.11,2.30479,0,0,440.08,1.84,440.08
2/03/2020,Monday,WCB,Within_Control,Blu.Red,male,a9582,,2322.16,5.27763,93.84,65.04,281.2,12.48,440.08
2/03/2020,Monday,WCB,Within_Control,Pur.Blu,male,a9687,,2458.29,5.58703,133.12,93.28,213.68,1.2,440.08
2/03/2020,Monday,MA,Maternal,Bro.Gre,female,a9796,,671.358,1.52581,17.92,22,400.16,79.36,440.08
2/03/2020,Monday,MA,Maternal,Red.Yel,female,a9761,,2109.92,4.79528,170.88,103.44,165.76,0.08,440.08
2/03/2020,Monday,MA,Maternal,Red.Blu,female,a9759,,7.03247,0.0159829,0,0,440.08,440,440.08
2/03/2020,Monday,MA,Maternal,_.Yel,male,a9764,,1217.86,2.76786,0,0,440.08,1.12,440.08
2/03/2020,Monday,MA,Maternal,Gre.Gre,female,a9804,,1467.34,3.33487,0,0,440.08,0.24,440.08
2/03/2020,Monday,MA,Maternal,Red.Red,male,a9754,,1616.7,3.67432,17.12,88.8,334.16,0.24,440.08
2/03/2020,Monday,MA,Maternal,Bro.Yel,female,a9794,,639.614,1.45367,0,0,440.08,4.08,440.08
2/03/2020,Monday,MA,Maternal,Red.Bro,male,a9760,,1745.63,3.96806,10.24,47.44,382.4,0.24,440.08
2/03/2020,Monday,MA,Maternal,Red.Gre,female,a9758,,1761.89,4.00429,98.64,101.28,240.16,0.32,440.08
2/03/2020,Monday,MA,Maternal,Gre.Blu,male,a9808,,7.01374,0.0159403,0,0,440.08,440,440.08
2/03/2020,Monday,MA,Maternal,Whi.Ora,female,a9839,,241.115,0.547988,0,0,440.08,230.24,440.08
2/03/2020,Monday,MA,Maternal,Gre.Whi,female,a9809,,1840.99,4.18407,119.36,54.4,266.32,1.44,440.08
2/03/2020,Monday,MA,Maternal,_.Bla,male,a9800,,441.771,1.00403,0,0,440.08,158.16,440.08
2/03/2020,Monday,MA,Maternal,Red.Pur,female,a9762,,1383.77,3.14494,0,0,440.08,0.96,440.08
2/03/2020,Monday,MA,Maternal,Blu.Yel,female,a9845,,9.02942,0.0205214,0,0,440.08,440,440.08
