Arena,Trial,Water,Water_Time,Date,Day,Group,Tank,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
4,10,water2,3,7/02/2020,Friday1,WTA,Within Treatment,Pur._,male,a10077,NA,2381.48,145.36,86,208.72,0.08,440.08,53.2,26
5,10,water2,3,7/02/2020,Friday1,WTA,Within Treatment,Pin.Blu,male,a10090,NA,2441,131.76,166.88,141.44,0,440.08,43.68,49
6,10,water2,3,7/02/2020,Friday1,WTA,Within Treatment,Gre.Ora,female,a10045,NA,106.059,0,0,440.08,270.72,440.08,,0
1,11,water2,4,7/02/2020,Friday1,PB,Paternal,Pin.Bro,female,a9955,net was in front of camera for first minute,1145.08,21.28,48.56,370.24,81.84,440.08,331.76,3
2,11,water2,4,7/02/2020,Friday1,PB,Paternal,Red.Bla,male,a9949,NA,1730.31,18.48,49.28,372.32,2.88,440.08,350.64,9
3,11,water2,4,7/02/2020,Friday1,PB,Paternal,Whi._,female,a9924,NA,1812.56,71.2,92.48,276.4,0.88,440.08,181.2,23
4,11,water2,4,7/02/2020,Friday1,PB,Paternal,Pin.Ora,female,a9953,NA,1559.13,143.36,87.28,209.44,0.32,440.08,0,11
5,11,water2,4,7/02/2020,Friday1,PB,Paternal,Whi.Ora,female,a9927,NA,2115.79,31.84,69.68,338.56,0.72,440.08,286.64,14
6,11,water2,4,7/02/2020,Friday1,PB,Paternal,Red.Yel,male,a9947,NA,639.631,0,0,440.08,117.76,440.08,,0
1,12,water2,5,7/02/2020,Friday1,PB,Paternal,Blu.Gre,male,a9983,NA,1616.47,17.52,31.12,391.44,2.16,440.08,287.84,9
2,12,water2,5,7/02/2020,Friday1,PB,Paternal,Yel.Gre,male,a9901,NA,2143.97,53.68,95.84,290.56,1.12,440.08,45.6,19
3,12,water2,5,7/02/2020,Friday1,PB,Paternal,Red._,male,a9941,NA,1133.96,0,0,440.08,3.52,440.08,,0
4,12,water2,5,7/02/2020,Friday1,PB,Paternal,_.Red,female,a9903,NA,940.452,0,0,440.08,29.2,440.08,,0
5,12,water2,5,7/02/2020,Friday1,PB,Paternal,_.Ora,female,a9964,NA,1760,72.08,96.48,271.52,0.96,440.08,134.16,14
6,12,water2,5,7/02/2020,Friday1,PB,Paternal,Bro.Bro,female,a9910,NA,1582.05,24.16,50.88,365.04,0.4,440.08,310,9
1,13,water2,6,7/02/2020,Friday1,PB,Paternal,_.Pur,male,a9981,NA,1651.14,36.96,68.88,316.08,2,421.92,235.12,10
2,13,water2,6,7/02/2020,Friday1,PB,Paternal,Blu.Blu,male,a9973,NA,2519.32,138.32,120.08,181.12,1.2,439.52,80.32,31
3,13,water2,6,7/02/2020,Friday1,PB,Paternal,Pin.Gre,female,a9952,NA,1563.99,89.28,71.2,279.04,12.96,439.52,216.96,14
4,13,water2,6,7/02/2020,Friday1,PB,Paternal,Yel.Pur,female,a9899,NA,450.967,0,0,439.52,248.8,439.52,,0
5,13,water2,6,7/02/2020,Friday1,PB,Paternal,Bro._,male,a9908,NA,544.084,0,0,439.52,130.64,439.52,,0
6,13,water2,6,7/02/2020,Friday1,PB,Paternal,Bla.Whi,female,a9923,NA,482.015,0,0,439.52,158.48,439.52,,0
1,14,water2,7,7/02/2020,Friday1,PB,Paternal,Blu.Pur,male,a9975,jumped while placing in long tank,1925.67,13.12,38.96,388,0.96,440.08,183.04,5
2,14,water2,7,7/02/2020,Friday1,PB,Paternal,Bro.Blu,male,a9937,potentially injured pre-trial,1206.53,0,0,440.08,1.6,440.08,,0
3,14,water3,1,7/02/2020,Friday1,WCB,Within Control,Ora.Yel,male,NA,"LABEL IS PIN.YEL, BUT FISH WAS ACTUALLY ORA.YEL (EXCLUSION) - EXCLUDE FROM ETHOVISION",1857.3,54.16,64.4,321.52,1.68,440.08,26.48,13
4,14,water3,1,7/02/2020,Friday1,WCB,Within Control,Blu.Gre,female,a9578,NA,1221.19,23.76,54.16,362.16,2.88,440.08,189.04,8
5,14,water3,1,7/02/2020,Friday1,WCB,Within Control,Red.Bro,male,a9677,NA,69.4358,0,0,440.08,422.32,440.08,,0
6,14,water3,1,7/02/2020,Friday1,WCB,Within Control,Ora.Bro,male,a9610,NA,2684.02,88.64,112.8,238.64,0.48,440.08,176.48,38
1,15,water3,2,7/02/2020,Friday1,WCB,Within Control,Ora.Gre,male,a9612,NA,1236.27,0,0,440.08,9.92,440.08,,0
2,15,water3,2,7/02/2020,Friday1,WCB,Within Control,Blu.Red,male,a9582,NA,1550.02,36.64,54.32,349.12,2.24,440.08,347.84,11
3,15,water3,2,7/02/2020,Friday1,WCB,Within Control,Pur.Blu,male,a9687,NA,2568.64,138.24,74.64,227.2,4.48,440.08,165.44,22
4,15,water3,2,7/02/2020,Friday1,WCB,Within Control,Pur.Pin,male,a9686,jumped entering tank,1694.41,17.6,23.92,398.56,0.8,440.08,6.88,4
5,15,water3,2,7/02/2020,Friday1,WCB,Within Control,Blu.Whi,female,a9580,NA,1528.11,27.52,29.2,383.36,8,440.08,405.12,3
6,15,water3,2,7/02/2020,Friday1,WCB,Within Control,Ora.Bla,female,a9608,NA,209.605,0,0,440.08,74.48,440.08,,0
1,16,water3,3,7/02/2020,Friday1,WCB,Within Control,Bro.Gre,female,a9704,NA,2121.91,53.44,102.16,284.48,0.4,440.08,216.56,17
2,16,water3,3,7/02/2020,Friday1,WCB,Within Control,Blu.Blu,male,a9575,NA,1874.69,0,39.76,400.32,0.48,440.08,,0
3,16,water3,3,7/02/2020,Friday1,WCB,Within Control,Pin.Whi,male,a9590,NA,447.472,0,0,440.08,135.44,440.08,,0
4,16,water3,3,7/02/2020,Friday1,WCB,Within Control,Yel.Yel,female,a9613,NA,871.065,0,0,440.08,59.6,440.08,,0
5,16,water3,3,7/02/2020,Friday1,WCB,Within Control,_.Pur,female,a9605,NA,2149.85,148.32,124.48,167.28,0.16,440.08,50.4,21
6,16,water3,3,7/02/2020,Friday1,WCB,Within Control,Whi.Ora,female,a9596,NA,1841.66,107.12,125.04,207.92,0.24,440.08,117.12,16
1,17,water3,4,7/02/2020,Friday1,WCB,Within Control,Blu.Bro,female,a9579,NA,1108.78,0,0,440.08,2.64,440.08,,0
2,17,water3,4,7/02/2020,Friday1,WCB,Within Control,Blu.Pur,male,a9581,NA,796.395,0,0,440.08,19.52,440.08,,0
3,17,water3,4,7/02/2020,Friday1,WCB,Within Control,Pin.Yel,male,a9587,NA,2481.93,108.48,86.88,244.72,1.12,440.08,190.24,32
4,17,water3,4,7/02/2020,Friday1,WCB,Within Control,Blu.Ora,female,a9583,NA,104.572,0,0,440.08,385.12,440.08,,0
5,17,water3,4,7/02/2020,Friday1,WCB,Within Control,Bro.Bla,female,a9700,NA,989.445,0,0,440.08,6.88,440.08,,0
1,18,water3,5,7/02/2020,Friday1,MA,Maternal,Yel._,male,a9763,NA,510.908,0,0,440.08,19.12,440.08,,0
2,18,water3,5,7/02/2020,Friday1,MA,Maternal,_.Gre,male,a9803,NA,1394.86,0,0,440.08,2.4,440.08,,0
3,18,water3,5,7/02/2020,Friday1,MA,Maternal,Gre.Gre,female,a9804,NA,1451.61,0,0,440.08,21.84,440.08,,0
4,18,water3,5,7/02/2020,Friday1,MA,Maternal,Red.Blu,female,a9759,NA,11.8982,0,0,440.08,432.96,440.08,,0
5,18,water3,5,7/02/2020,Friday1,MA,Maternal,Red.Pur,female,a9762,NA,1602.28,8.4,34.88,396.8,1.28,440.08,369.44,3
