Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
3,,,WTA,Gre.Gre,female,a10034,,1036.11,0,3.92,436.16,96.56,440.08,-,0
4,,,WTA,Ora.Red,male,a10064,,2052.73,80.96,134.88,224.08,0,439.92,0,20
5,,,WTA,Red.Pur,male,a10166,,144.155,0,0,440.08,393.68,440.08,-,0
6,,,WTA,Gre.Pin,female,a10036,,2457.16,90.16,72.8,277.12,0.16,440.08,11.6,20
1,,,PB,Whi._,female,a9924,,2404.08,173.52,128.32,138.24,0.4,440.08,20.24,32
2,,,PB,_.Red,female,a9903,,416.583,0,0,440.08,175.68,440.08,-,0
3,,,PB,_.Pur,male,a9981,probs female,2223.46,79.44,86.64,274,2.88,440.08,158.96,20
4,,,PB,Red._,male,a9941,,2288.46,221.28,76.72,142,0.24,440,25.2,23
5,,,PB,Yel.Gre,male,a9901,,2051.67,117.28,110.96,211.84,0.08,440.08,49.6,19
6,,,PB,Pin.Gre,female,a9952,,988.432,21.36,17.52,401.2,24.8,440.08,138.8,2
1,,,PB,Whi.Ora,female,a9927,,1314.5,28.24,24.88,386.96,14.48,440.08,398.56,5
2,,,PB,Blu.Gre,male,a9983,,340.635,0,0,440.08,289.84,440.08,-,0
3,,,PB,Red.Bla,male,a9949,,1865.25,109.92,143.52,186.64,1.44,440.08,130.24,18
4,,,PB,Yel.Pur,female,a9899,,1956.66,47.04,67.6,325.44,0.72,440.08,205.44,11
5,,,PB,Pur.Pur,female,a9982,,1521.97,72.4,48.08,319.6,0.48,440.08,297.28,13
6,,,PB,Bro._,male,a9908,,2130,106.24,111.12,222.72,0.72,440.08,77.92,19
1,,,PB,Bro.Bro,female,a9910,,1173.25,0,1.36,438.72,0.32,440.08,-,0
2,,,PB,Red.Yel,male,a9947,,933.652,30.4,51.76,357.92,109.28,440.08,336.56,4
3,,,PB,Bla.Whi,female,a9923,,2035.39,294.24,54.96,90.88,0.4,440.08,96.32,22
4,,,PB,Blu.Blu,male,a9973,,1491.04,238.24,80.4,121.44,4.16,440.08,106.48,16
5,,,PB,Pin.Ora,female,a9953,,1458.15,28.16,50.72,361.2,0.96,440.08,204.8,5
6,,,PB,Blu.Pur,male,a9975,,674.279,0,0,440.08,130.72,440.08,-,0
1,,,PB,Bro.Blu,male,a9937,,1600.87,0,0,440.08,0.24,440.08,-,0
2,,,PB,_.Ora,female,a9964,,1105.06,28.16,40.24,371.68,92.16,440.08,220.88,5
