Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,freq_high,latency_high
1,,,MA,Red.Bro,male,a9760,,2679.69,0,0,438.76,0.24,438.76,0,-
2,,,MA,Blu.Yel,female,a9845,,2347.97,129,123.16,187.32,0.24,439.48,18,79.72
3,,,MA,Red.Pur,female,a9762,,876.4,0,0,300.04,3.4,300.04,0,-
4,,,MA,Red._,female,a9848,,918.857,6.6,12.28,421.16,1.36,440.04,1,64.88
5,,,MA,Gre.Blu,male,a9808,,535.878,0,0,434.16,19.56,434.16,0,-
6,,,MA,_.Gre,male,a9803,,2905.13,77.4,91.6,263.56,0.08,432.56,40,176.96
1,,,WCB,Ora.Bla,female,a9608,,1711.99,26.2,87.04,315.88,0.16,429.12,16,278.28
2,,,WCB,Blu.Ora,female,a9583,,626.735,0,0,401.68,122.96,401.68,0,-
3,,,WCB,_.Pur,female,a9605,,834.965,0,0,424.64,7.28,424.64,0,-
4,,,WCB,Pur.Blu,male,a9687,,3026.77,131.92,98.2,201.4,0.24,431.52,64,67.28
5,,,WCB,Bro.Bla,female,a9700,,2190.19,78,60.92,298.52,0.68,437.44,23,190.52
6,,,WCB,Blu.Red,male,a9582,,2434.32,51.64,65.32,320.72,0.36,437.68,22,119.48
1,,,WCB,Yel.Yel,female,a9613,,1006.32,0,0,424.2,79.88,424.2,0,-
2,,,WCB,Pin.Whi,male,a9590,,769.928,0,0,440.04,122.48,440.04,0,-
3,,,WCB,Bro.Gre,female,a9704,,960.643,12.2,57.08,370.68,193.32,439.96,7,333.92
4,,,WCB,Ora.Gre,male,a9612,,248.65,0,0,440.04,290,440.04,0,-
5,,,WCB,Blu.Blu,male,a9575,,1860.26,20.92,70.24,348.88,10.44,440.04,7,319.08
6,,,WCB,Blu.Bro,female,a9579,,1743.47,62.36,54.44,323.24,4.88,440.04,10,150.72
1,,,WCB,Ora.Bro,male,a9610,,1720.74,0,0,426,0.56,426,0,-
2,,,WCB,Blu.Gre,female,a9578,,1918.3,66.08,34.56,339.32,0.44,439.96,8,345.8
3,,,WCB,Blu.Pur,male,a9581,,136.378,0,0,440.04,224.88,440.04,0,-
4,,,WCB,Red.Bro,male,a9677,,65.4883,0,0,440.04,305.4,440.04,0,-
5,,,WCB,Blu.Whi,female,a9580,,1416.19,39.48,31.76,368.64,40.68,439.88,6,335.6
6,,,WCB,Pur.Pin,male,a9686,,1536.17,0,0,438.48,0.8,438.48,0,-
1,,,WCB,Whi.Ora,female,a9596,,3183.97,183,191.96,60.84,0.04,435.8,84,63.64
2,,,WCB,Pin.Yel,male,a9587,,2968.73,61.44,106.6,271.88,0.08,439.92,24,147.52
3,,,PB,Red.Bla,male,a9949,,2360.55,124.68,98.04,216.88,0.4,439.6,33,160.08
4,,,PB,Bla.Whi,female,a9923,,3243.84,293.24,85.72,59.88,0.16,438.84,51,11.52
5,,,PB,Yel.Pur,female,a9899,,627.698,0,0,429.08,81.64,429.08,0,-
6,,,PB,_.Pur,male,a9981,,2759.06,134.44,108.8,196.48,0.28,439.72,25,10.52
1,,,PB,Whi.Ora,female,a9927,,666.252,0,0,439.76,3.64,439.76,0,-
2,,,PB,Bro.Blu,male,a9937,,910.84,0,0,440.04,52.8,440.04,0,-
3,,,PB,Pin.Ora,female,a9953,,1173.85,0,15.24,424.56,0.6,439.8,0,-
4,,,PB,Red.Yel,male,a9947,,733.168,0,0,440.04,17.44,440.04,0,-
5,,,PB,Pin.Bro,female,a9955,,1149.17,16.16,78.16,345.24,8.92,439.56,4,158
6,,,PB,_.Red,female,a9903,,417.083,0,0,437.92,87.6,437.92,0,-
1,,,PB,Blu.Gre,male,a9983,,1058.58,0,0,436.56,46.08,436.56,0,-
2,,,PB,Blu.Blu,male,a9973,,2343.37,129.88,79.16,230.2,0.16,439.24,19,96.2
3,,,PB,Pin.Gre,female,a9952,,1877.62,75.36,100.76,263.92,1.6,440.04,19,70.76
4,,,PB,Bro._,male,a9908,,2352.96,97.28,124.28,218.44,1.04,440,30,128
5,,,PB,Red._,male,a9941,,2294.09,47.96,99.6,287.88,0.24,435.44,17,30.16
6,,,PB,Bro.Bro,female,a9910,,2207.65,61.32,136.2,242.52,0.12,440.04,24,124.88
1,,,PB,Blu.Pur,male,a9975,,1455.13,0,0,437.52,2.56,437.52,0,-
2,,,PB,Whi._,female,a9924,,2378.48,39.96,104.72,295.32,4,440,14,143.76
3,,,PB,_.Ora,female,a9964,,716.883,9.76,47.72,380.08,7.44,437.56,4,341.52
4,,,PB,Yel.Gre,male,a9901,,3388.07,181.28,106.2,152.48,0.2,439.96,40,3.04
5,,,WTA,Whi.Yel,male,a10157,,2752.65,178.52,80.12,180.36,0.12,439,35,14.12
6,,,WTA,Red.Bla,female,a10164,,1603.92,28.12,48.6,363.08,9.24,439.8,7,355.16
1,,,WTA,Blu.Blu,female,a10046,,1941.09,72.64,75.8,283.2,15.76,431.64,22,216.36
2,,,WTA,Gre.Blu,female,a10041,,2144.4,15.92,115.88,305.32,0.2,437.12,7,363.44
3,,,WTA,Yel._,male,a10095,,3360.11,96.52,136.72,206.8,0.08,440.04,33,97.52
4,,,WTA,Pin.Blu,male,a10090,,3804.31,164.16,139.84,135.96,0,439.96,56,65.24
5,,,WTA,Red.Pur,male,a10166,,387.082,0,0,440.04,9.44,440.04,0,-
6,,,WTA,Blu._,female,a10039,,2426.89,84.2,82.64,265,0.2,431.84,26,22.56
1,,,WTA,Gre.Ora,female,a10045,,1471.61,11.8,20.96,402.8,0.44,435.56,3,428.12
2,,,WTA,Ora.Red,male,a10064,,1909.75,0,5.08,434.92,0.32,440,0,-
3,,,WTA,Gre.Pin,female,a10036,,3117.9,95.8,69.28,274.84,0.12,439.92,20,59.48
4,,,WTA,Pin.Bla,male,a10092,,2121.59,58.44,105,275.8,0.16,439.24,12,138.6
5,,,WTA,Ora.Bro,male,a10070,,2617.43,107.76,98.24,234.04,0.32,440.04,18,117.6
6,,,WTA,Pin.Gre,female,a10087,,233.282,0,0,439.32,171.56,439.32,0,-
1,,,WTA,Red.Whi,female,a10172,,1343.53,0,4.88,434.56,4.68,439.44,0,-
2,,,WTA,Bro.Bro,male,a10201,,2893.81,223.44,113,103.56,0.16,440,39,15.52
3,,,WTA,Pur.Blu,female,a10079,,2406.2,100.52,105.36,230.88,0.24,436.76,25,124.56
4,,,WTA,Whi.Pur,female,a10158,,197.033,0,0,440.04,316.48,440.04,0,-
5,,,WTA,Blu.Yel,male,a10055,,2215.17,83.44,99.16,256.84,0.32,439.44,14,40.24
6,,,WTA,Pur._,male,a10077,,2000.26,29.28,38.12,372.64,0.16,440.04,7,171.68
1,,,MB,Yel.Ora,female,a9778,,3035.82,119.4,135.8,182.96,0.08,438.16,32,0
2,,,MB,Pin.Yel,female,a9854,,3081.85,138.28,119.64,180.4,0,438.32,47,7.92
3,,,MB,Yel.Bla,female,a9777,,2164.73,49.2,53.52,333.6,0.2,436.32,12,137.72
4,,,MB,Pur.Pin,male,a9824,,3769.75,212.2,98.2,127.96,0.04,438.36,53,11.32
5,,,MB,Blu.Blu,male,a9843,,1252.83,0,14.88,425.16,2.04,440.04,0,-
6,,,MB,Red.Pin,male,a9755,,2909.88,165.84,113.92,159.24,0.04,439,36,8.92
1,,,MB,_.Blu,Male,a9844,,2037.08,89.12,101.92,249,6.76,440.04,18,65.4
2,,,MB,Bla.Gre,female,a9787,,1966.42,196.8,112.36,106.2,0.2,415.36,91,68.36
3,,,MB,Red.Bla,male,a9756,,3394.4,89.84,126.16,224.04,0.08,440.04,32,69.32
4,,,MB,_._,female,a9774,,2358.56,92.12,62.4,280.68,0.16,435.2,33,0
5,,,MB,Gre.Ora,female,a9868,,2823.33,101.8,69.4,268.04,0.04,439.24,26,0
6,,,MB,Pin.Whi,female,a9862,,2166.15,30.48,24.8,383.6,7.88,438.88,12,47.64
1,,,MB,Gre.Pur,female,a9867,,1784.77,31.32,81.24,318.88,2.16,431.44,15,252.68
2,,,MB,_.Red,male,a9849,,1712.93,20.84,50.12,369.08,0.8,440.04,3,314.24
3,,,MB,Ora.Pur,male,a9821,,2079.29,122.92,173.96,142.84,0.08,439.72,20,48.12
4,,,MB,_.Ora,female,a10198,,2794.34,242.2,94.52,103.24,0.04,439.96,32,0
5,,,MB,Red._,male,a9752,,2879.32,35.2,70.64,333.24,0.04,439.08,6,141.4
6,,,MB,Yel.Yel,male,a9765,,2909.99,54.04,117.6,265.84,0.12,437.48,21,39.6
1,,,MB,Blu.Gre,male,a9846,,3344.59,111.48,94.96,233.6,0.08,440.04,32,41.12
2,,,MB,Ora.Yel,male,a9813,,2945.24,111.92,67.96,257.52,0.16,437.4,34,35.92
3,,,WCA,Gre.Blu,female,a9553,,2739.14,125.96,118.2,195.88,0.16,440.04,21,43.88
4,,,WCA,Ora.Blu,female,a9607,,2588.51,135.52,169.2,127.84,0.12,432.56,60,37.96
5,,,WCA,Red.Bla,male,a9676,,221.84,0,0,439.48,146.28,439.48,0,-
6,,,WCA,Gre.Bla,male,a9554,,2347.63,66.68,120.84,252.52,0.24,440.04,12,158.84
1,,,WCA,Red.Pin,female,a9673,,2988.12,85.04,129.36,223.04,0.08,437.44,35,31.8
2,,,WCA,Ora.Ora,male,a9706,,2465.89,143.84,93.56,193.76,0.2,431.16,42,25.76
3,,,WCA,Red.Gre,male,a9680,,2195.11,103.92,65.8,270.16,0.4,439.88,13,71.4
4,,,WCA,Red.Whi,female,a9679,,837.469,0,0,439.64,76.04,439.64,0,-
5,,,WCA,Red.Yel,female,a9678,,2518.27,156.76,72.52,209.88,0.2,439.16,22,101.72
6,,,WCA,Pin.Gre,male,a9588,,2317.82,51.2,90.6,298.16,0.16,439.96,16,163.52
1,,,WCA,Pur.Red,female,a9566,,671.333,75.48,33.72,330.84,49,440.04,2,74.88
2,,,WCA,Ora.Red,male,a9606,,2967.82,198.8,81.08,159.8,0.16,439.68,20,0
3,,,WCA,Gre.Bro,male,a9558,,2348.22,274.32,84.64,81.04,0.12,440,27,0
4,,,WCA,Red.Ora,male,a9681,,1721.69,0,0,440.04,0.24,440.04,0,-
5,,,WCA,Whi.Bla,female,a9598,,2525.21,77.48,82.64,269.4,0.2,429.52,38,56.24
6,,,WCA,Whi.Yel,female,a9599,,967.021,0,0,439.48,1.4,439.48,0,-
1,,,WCA,Gre.Pur,female,a9556,,3175.4,143.84,155.92,140.28,0.04,440.04,47,7
2,,,WCA,Pur._,male,a9562,,692.42,0,0,440.04,143.16,440.04,0,-
3,,,WCA,Ora.Gre,female,a9603,,2245.24,73.24,94.64,271.92,0.2,439.8,17,123.92
4,,,WCA,Ora.Whi,male,a9611,,2778.12,151.08,112.28,176.52,0.2,439.88,28,129.84
